"","words","n","pos","neg"
"4538","cortezsuperstar",1,1,0
"4539","cosa",1,1,0
"4540","cosi",1,1,0
"4541","cosmovisiontoo",1,1,0
"4542","cosplayprogress",1,1,0
"4543","costacc",1,1,0
"4544","cotton",1,0,1
"4545","couch",1,1,0
"4546","couldnt",1,1,0
"4547","councillor",1,0,1
"4548","countdown",1,0,1
"4549","countless",1,0,1
"4550","counts2nd",1,0,1
"4551","countthecost",1,0,1
"4552","courag",1,0,1
"4553","courgett",1,1,0
"4554","courier",1,1,0
"4555","course",1,1,0
"4556","coursetalk",1,1,0
"4557","coursework",1,1,0
"4558","covent",1,1,0
"4559","coveral",1,0,1
"4560","cow",1,0,1
"4561","coyot",1,0,1
"4562","cozi",1,1,0
"4563","cpm",1,0,1
"4564","cpu",1,1,0
"4565","cr",1,0,1
"4566","cram",1,0,1
"4567","cramp",1,0,1
"4568","cranium",1,1,0
"4569","crappl",1,0,1
"4570","crazyyyy",1,0,1
"4571","creak",1,1,0
"4572","creas",1,0,1
"4573","creation",1,0,1
"4574","cred",1,0,1
"4575","creed",1,0,1
"4576","creepi",1,0,1
"4577","crei",1,0,1
"4578","creta",1,1,0
"4579","crime",1,0,1
"4580","crimin",1,0,1
"4581","crisp",1,1,0
"4582","critic",1,0,1
"4583","criticis",1,1,0
"4584","critiquesthat",1,1,0
"4585","crosss",1,0,1
"4586","crowdfund",1,1,0
"4587","crown",1,0,1
"4588","cruel",1,0,1
"4589","crueler",1,1,0
"4590","cruis",1,0,1
"4591","crumbl",1,0,1
"4592","cryd",1,1,0
"4593","cryingi",1,0,1
"4594","crypt",1,1,0
"4595","crys",1,0,1
"4596","csrrace",1,1,0
"4597","ctto",1,0,1
"4598","cue",1,1,0
"4599","cultur",1,1,0
"4600","cumbia",1,0,1
"4601","cumbria",1,1,0
"4602","cumshot",1,1,0
"4603","cupboard",1,1,0
"4604","cupid",1,0,1
"4605","curious",1,0,1
"4606","curv",1,0,1
"4607","cus",1,0,1
"4608","cushion",1,1,0
"4609","cusp",1,1,0
"4610","cuss",1,1,0
"4611","custard",1,1,0
"4612","cuticl",1,1,0
"4613","cuttingmak",1,1,0
"4614","cuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuut",1,1,0
"4615","cwnt",1,0,1
"4616","cyclerevolut",1,0,1
"4617","cypher",1,1,0
"4618","cyprus",1,0,1
"4619","d1",1,0,1
"4620","daaay",1,1,0
"4621","daam",1,1,0
"4622","daaru",1,1,0
"4623","dae",1,0,1
"4624","daft",1,1,0
"4625","daftbut",1,0,1
"4626","dagga",1,1,0
"4627","daisi",1,1,0
"4628","dale",1,1,0
"4629","dam",1,1,0
"4630","damnit",1,0,1
"4631","dampen",1,1,0
"4632","danceeeee",1,0,1
"4633","dancer",1,0,1
"4634","dancetast",1,1,0
"4635","dandia",1,0,1
"4636","danger",1,1,0
"4637","dangit",1,0,1
"4638","dangl",1,0,1
"4639","daniel",1,1,0
"4640","daniell",1,0,1
"4641","darcey",1,0,1
"4642","dard",1,0,1
"4643","darlen",1,0,1
"4644","darlin",1,0,1
"4645","darn",1,0,1
"4646","darren",1,0,1
"4647","dartmoor",1,1,0
"4648","das",1,1,0
"4649","dash",1,0,1
"4650","dassi",1,1,0
"4651","dasvidaniya",1,1,0
"4652","datz",1,1,0
"4653","daughter",1,0,1
"4654","daughter4yr",1,1,0
"4655","davao",1,0,1
"4656","day2",1,1,0
"4657","day6",1,1,0
"4658","daykeep",1,1,0
"4659","dayofarch",1,1,0
"4660","daysomg",1,1,0
"4661","dayweek",1,1,0
"4662","dayz",1,1,0
"4663","daze",1,0,1
"4664","dazzl",1,1,0
"4665","dc",1,0,1
"4666","dddi",1,0,1
"4667","de",1,0,1
"4668","deadlin",1,0,1
"4669","deadthank",1,1,0
"4670","dealsuthaonotebachao",1,1,0
"4671","deantd",1,0,1
"4672","deathbybaconsmel",1,0,1
"4673","deathcur",1,1,0
"4674","deathofgrass",1,1,0
"4675","debacl",1,1,0
"4676","debbi",1,1,0
"4677","deck",1,0,1
"4678","decor",1,1,0
"4679","dedic",1,1,0
"4680","dedicatedfan",1,1,0
"4681","deennya",1,1,0
"4682","deepxcap",1,0,1
"4683","defenc",1,0,1
"4684","defens",1,0,1
"4685","degener",1,1,0
"4686","degrassi",1,0,1
"4687","dekhi",1,1,0
"4688","del",1,1,0
"4689","deleg",1,1,0
"4690","deleici",1,0,1
"4691","delevingn",1,0,1
"4692","delhi",1,1,0
"4693","deliri",1,0,1
"4694","delish",1,1,0
"4695","demi",1,0,1
"4696","den",1,0,1
"4697","denerivery506",1,1,0
"4698","deni",1,0,1
"4699","denis",1,0,1
"4700","dental",1,0,1
"4701","deo",1,1,0
"4702","deosnt",1,0,1
"4703","deplet",1,0,1
"4704","deposit",1,1,0
"4705","dept",1,0,1
"4706","deptnot",1,1,0
"4707","derbi",1,0,1
"4708","derp",1,0,1
"4709","des",1,1,0
"4710","describ",1,0,1
"4711","desireameen",1,1,0
"4712","desk",1,1,0
"4713","desktop",1,0,1
"4714","despair",1,0,1
"4715","despond",1,1,0
"4716","destin",1,0,1
"4717","destroy",1,1,0
"4718","deti",1,1,0
"4719","dev",1,0,1
"4720","devast",1,0,1
"4721","devolut",1,1,0
"4722","dew",1,1,0
"4723","deya",1,1,0
"4724","dh",1,0,1
"4725","dhabi",1,1,0
"4726","dhaka",1,0,1
"4727","dheena",1,0,1
"4728","diagnos",1,0,1
"4729","dian",1,1,0
"4730","dianna",1,1,0
"4731","diarrhea",1,1,0
"4732","diego",1,1,0
"4733","dieididieieiei",1,0,1
"4734","dieof",1,0,1
"4735","diesel",1,0,1
"4736","diff",1,0,1
"4737","diffici",1,0,1
"4738","digitalexet",1,1,0
"4739","digitalmarket",1,1,0
"4740","dii",1,1,0
"4741","dikha",1,1,0
"4742","dime",1,1,0
"4743","dimpl",1,1,0
"4744","dine",1,1,0
"4745","diner",1,0,1
"4746","dinghi",1,0,1
"4747","dinooo",1,1,0
"4748","dipikirin",1,1,0
"4749","diploma",1,1,0
"4750","diplomaci",1,0,1
"4751","dipoppo",1,0,1
"4752","dipsatch",1,1,0
"4753","directx11",1,0,1
"4754","dirtiest",1,0,1
"4755","dirtydirti",1,1,0
"4756","dirtykik",1,0,1
"4757","disagre",1,1,0
"4758","disappear",1,0,1
"4759","disappointedmmsrri",1,0,1
"4760","discharg",1,1,0
"4761","discontinu",1,0,1
"4762","discount",1,0,1
"4763","diseas",1,0,1
"4764","diseaseback",1,0,1
"4765","dish",1,0,1
"4766","dishoom",1,1,0
"4767","disk",1,1,0
"4768","dislik",1,0,1
"4769","disneyart",1,1,0
"4770","disneyinfin",1,1,0
"4771","dispatch",1,0,1
"4772","dissappear",1,0,1
"4773","dissip",1,0,1
"4774","distant",1,0,1
"4775","distress",1,0,1
"4776","distribut",1,1,0
"4777","distrub",1,1,0
"4778","disturb",1,0,1
"4779","disvirginedlik",1,0,1
"4780","dit",1,0,1
"4781","ditch",1,1,0
"4782","diva",1,1,0
"4783","diyflow",1,0,1
"4784","diz",1,0,1
"4785","djderek",1,0,1
"4786","djset",1,1,0
"4787","djstruthmat",1,1,0
"4788","dkt",1,1,0
"4789","dmed",1,0,1
"4790","doabl",1,0,1
"4791","dobar",1,1,0
"4792","doc",1,1,0
"4793","docopenhagen",1,0,1
"4794","documentari",1,1,0
"4795","dodg",1,1,0
"4796","doe",1,0,1
"4797","doednt",1,0,1
"4798","doesn",1,1,0
"4799","doh",1,1,0
"4800","doido",1,1,0
"4801","doli",1,1,0
"4802","dollar",1,0,1
"4803","dolphin",1,0,1
"4804","domest",1,0,1
"4805","domesticviol",1,0,1
"4806","domino",1,1,0
"4807","done3week",1,1,0
"4808","donetsk",1,1,0
"4809","donghyuk",1,0,1
"4810","donington",1,1,0
"4811","donno",1,0,1
"4812","donutsss",1,0,1
"4813","doomsday",1,0,1
"4814","dorm",1,0,1
"4815","dormmat",1,0,1
"4816","dorset",1,1,0
"4817","dosa",1,1,0
"4818","dose",1,0,1
"4819","dosent",1,0,1
"4820","dosto",1,0,1
"4821","dostoevski",1,1,0
"4822","dota2",1,1,0
"4823","dough",1,1,0
"4824","doushit",1,0,1
"4825","dovey",1,0,1
"4826","downstair",1,1,0
"4827","downyou",1,0,1
"4828","dozen",1,0,1
"4829","dp",1,1,0
"4830","dr",1,0,1
"4831","drainag",1,1,0
"4832","drake",1,0,1
"4833","drama",1,1,0
"4834","drank",1,1,0
"4835","dread",1,1,0
"4836","dreamer",1,1,0
"4837","dreamili",1,1,0
"4838","dreamteam",1,1,0
"4839","dreari",1,0,1
"4840","dresscod",1,0,1
"4841","drift",1,1,0
"4842","drinkt",1,1,0
"4843","drone",1,1,0
"4844","droppedlook",1,1,0
"4845","droughtlink",1,0,1
"4846","drove",1,0,1
"4847","dua",1,1,0
"4848","dual",1,0,1
"4849","dub",1,1,0
"4850","dubai",1,0,1
"4851","ducktail",1,1,0
"4852","dudafti",1,1,0
"4853","dudeeeeee",1,1,0
"4854","dull",1,0,1
"4855","dumbest",1,0,1
"4856","dumont",1,1,0
"4857","dump",1,1,0
"4858","dun",1,1,0
"4859","dunedin",1,1,0
"4860","dunkin",1,0,1
"4861","dunno",1,1,0
"4862","dunt",1,0,1
"4863","dunwan",1,0,1
"4864","dupa",1,1,0
"4865","duper",1,1,0
"4866","durood",1,1,0
"4867","dus",1,0,1
"4868","dutch",1,0,1
"4869","dw",1,0,1
"4870","dy",1,0,1
"4871","dz9055",1,0,1
"4872","eager",1,1,0
"4873","earl",1,1,0
"4874","earliest",1,1,0
"4875","earlob",1,0,1
"4876","earn",1,1,0
"4877","earthl",1,1,0
"4878","eas",1,1,0
"4879","eatmeat",1,1,0
"4880","economi",1,1,0
"4881","eczema",1,1,0
"4882","edel",1,0,1
"4883","edgar",1,1,0
"4884","editi",1,0,1
"4885","editor",1,0,1
"4886","edomnt",1,0,1
"4887","educampakl",1,1,0
"4888","edwin",1,1,0
"4889","ee",1,0,1
"4890","eeeep",1,1,0
"4891","eek",1,1,0
"4892","ef",1,1,0
"4893","effin",1,0,1
"4894","ego",1,1,0
"4895","ehdar",1,0,1
"4896","ehh",1,0,1
"4897","ehm",1,1,0
"4898","ehn",1,0,1
"4899","eidfeel",1,0,1
"4900","eidwithgrof",1,0,1
"4901","eighteen",1,1,0
"4902","eintlik",1,0,1
"4903","eish",1,0,1
"4904","ejayst",1,1,0
"4905","ek",1,1,0
"4906","ekk",1,0,1
"4907","eksperimencinta",1,1,0
"4908","ekta",1,0,1
"4909","el",1,0,1
"4910","elabor",1,1,0
"4911","elah",1,1,0
"4912","eldest",1,0,1
"4913","eleph",1,1,0
"4914","elgato",1,0,1
"4915","elgin",1,0,1
"4916","elhaida",1,0,1
"4917","elimin",1,0,1
"4918","eliss",1,0,1
"4919","elit",1,1,0
"4920","elizabetholsen",1,1,0
"4921","ell",1,0,1
"4922","ella",1,0,1
"4923","ellen",1,1,0
"4924","elmhurst",1,0,1
"4925","elmoprinssi",1,1,0
"4926","elsa",1,0,1
"4927","elsewher",1,0,1
"4928","elvena",1,1,0
"4929","embrac",1,1,0
"4930","emc",1,1,0
"4931","emcon",1,1,0
"4932","emeg",1,0,1
"4933","emesh",1,1,0
"4934","emm",1,0,1
"4935","emoji",1,0,1
"4936","emon",1,1,0
"4937","emphasi",1,0,1
"4938","empow",1,1,0
"4939","emptier",1,0,1
"4940","emta",1,0,1
"4941","emu",1,1,0
"4942","emul",1,1,0
"4943","emyu",1,0,1
"4944","encanta",1,0,1
"4945","encompass",1,1,0
"4946","endeavour",1,1,0
"4947","endless",1,0,1
"4948","endow",1,1,0
"4949","ene",1,0,1
"4950","enemi",1,1,0
"4951","engin",1,1,0
"4952","engross",1,1,0
"4953","enix",1,1,0
"4954","enji",1,1,0
"4955","enn",1,1,0
"4956","enrol",1,0,1
"4957","ensur",1,1,0
"4958","enterprison",1,1,0
"4959","entlead590",1,0,1
"4960","entlerbount",1,0,1
"4961","entp",1,1,0
"4962","entrepreneurship",1,1,0
"4963","envious",1,0,1
"4964","environ",1,1,0
"4965","eon",1,0,1
"4966","epiphani",1,1,0
"4967","equalityact",1,1,0
"4968","era",1,0,1
"4969","eri",1,0,1
"4970","erica",1,0,1
"4971","ericavan18",1,0,1
"4972","erit",1,0,1
"4973","ervin",1,0,1
"4974","es",1,1,0
"4975","esnho",1,0,1
"4976","essenti",1,0,1
"4977","est",1,1,0
"4978","estat",1,0,1
"4979","estim",1,1,0
"4980","etdi",1,1,0
"4981","etid",1,0,1
"4982","etienn",1,0,1
"4983","etl",1,1,0
"4984","etsi",1,1,0
"4985","eu",1,0,1
"4986","eugh",1,0,1
"4987","eunha",1,0,1
"4988","eunji",1,0,1
"4989","evan",1,0,1
"4990","eve",1,0,1
"4991","evelineconrad",1,0,1
"4992","everday",1,0,1
"4993","everett",1,1,0
"4994","everlast",1,1,0
"4995","everon",1,0,1
"4996","every1",1,0,1
"4997","evri",1,0,1
"4998","ewok",1,1,0
"4999","exampl",1,0,1
"5000","excl",1,1,0
"5001","exclus",1,0,1
"5002","exe",1,1,0
"5003","exec",1,1,0
"5004","execut",1,0,1
"5005","exo",1,0,1
"5006","exolt3",1,0,1
"5007","exp",1,0,1
"5008","experttradesmen",1,1,0
"5009","exploit",1,1,0
"5010","explorealberta",1,0,1
"5011","explos",1,0,1
"5012","exposur",1,1,0
"5013","express",1,1,0
"5014","extens",1,0,1
"5015","extraordinari",1,1,0
"5016","extweleb",1,1,0
"5017","ey",1,1,0
"5018","eyelid",1,0,1
"5019","eyelin",1,0,1
"5020","eyesight",1,0,1
"5021","eyesmil",1,1,0
"5022","eyyah",1,0,1
"5023","f1",1,0,1
"5024","faaaaaabul",1,1,0
"5025","fabfriday",1,1,0
"5026","fabina",1,0,1
"5027","faceit",1,1,0
"5028","facesor",1,1,0
"5029","facil",1,0,1
"5030","fack",1,0,1
"5031","faggot",1,0,1
"5032","fah",1,0,1
"5033","fahad",1,1,0
"5034","fahrenheit",1,1,0
"5035","fahrinahmad",1,1,0
"5036","fail2ban",1,1,0
"5037","faint",1,0,1
"5038","falco",1,1,0
"5039","falkland",1,1,0
"5040","fallout",1,0,1
"5041","fals",1,1,0
"5042","falsetto",1,0,1
"5043","familyhom",1,0,1
"5044","famish",1,0,1
"5045","fanart",1,1,0
"5046","fanboy",1,1,0
"5047","fancaf",1,0,1
"5048","fandango",1,1,0
"5049","fank",1,0,1
"5050","fansign",1,0,1
"5051","fanta",1,1,0
"5052","farbridg",1,1,0
"5053","farmiga",1,0,1
"5054","fas",1,1,0
"5055","fasgadah",1,0,1
"5056","fashionfriday",1,1,0
"5057","fatal",1,1,0
"5058","fatigu",1,1,0
"5059","fatmam",1,0,1
"5060","favoriteotherwisei",1,1,0
"5061","favour",1,1,0
"5062","fckin",1,0,1
"5063","fcking",1,0,1
"5064","fe14",1,0,1
"5065","feb",1,1,0
"5066","feder",1,1,0
"5067","feelgoodfriday",1,0,1
"5068","feelinggood",1,1,0
"5069","feelslikeanidiot",1,0,1
"5070","fela",1,0,1
"5071","felic",1,1,0
"5072","felton",1,0,1
"5073","femin",1,1,0
"5074","feminist",1,1,0
"5075","fenestoscop",1,0,1
"5076","fenja",1,1,0
"5077","fennel",1,1,0
"5078","ferdous",1,0,1
"5079","fern",1,0,1
"5080","ferri",1,1,0
"5081","fersure",1,0,1
"5082","fest",1,0,1
"5083","feverfew",1,0,1
"5084","feytyaz",1,1,0
"5085","ffvi",1,0,1
"5086","fiction",1,1,0
"5087","fieldtrip",1,0,1
"5088","fiend",1,1,0
"5089","fiesta",1,1,0
"5090","fightingmciren",1,0,1
"5091","fightstickfriday",1,1,0
"5092","filbarbarian",1,1,0
"5093","finalist",1,1,0
"5094","financi",1,0,1
"5095","findavip",1,0,1
"5096","finddjderek",1,0,1
"5097","findyourfit",1,1,0
"5098","fineandyu",1,0,1
"5099","fing",1,1,0
"5100","fingerscross",1,1,0
"5101","fingerther",1,1,0
"5102","finnair",1,0,1
"5103","finnick",1,0,1
"5104","finnigan",1,1,0
"5105","firebal",1,1,0
"5106","firm",1,1,0
"5107","firmansyahbl",1,1,0
"5108","first50europ",1,1,0
"5109","fishi",1,0,1
"5110","fitn",1,0,1
"5111","fittest",1,0,1
"5112","fiver",1,0,1
"5113","fixedgearfrenzi",1,0,1
"5114","flame",1,1,0
"5115","flapjack",1,0,1
"5116","flare",1,1,0
"5117","flatteri",1,1,0
"5118","flaviana",1,0,1
"5119","flavour",1,0,1
"5120","flaw",1,1,0
"5121","flawless",1,1,0
"5122","fleekil",1,1,0
"5123","fleur",1,1,0
"5124","flickr",1,1,0
"5125","flint",1,1,0
"5126","flockstar",1,1,0
"5127","floof",1,1,0
"5128","flop",1,0,1
"5129","fls",1,1,0
"5130","fluent",1,0,1
"5131","flumekaytranadaalunageorg",1,1,0
"5132","flyhigh",1,1,0
"5133","fmt",1,1,0
"5134","fna",1,1,0
"5135","fnaf4",1,1,0
"5136","foam",1,1,0
"5137","foampit",1,1,0
"5138","focus",1,1,0
"5139","follbaaack",1,1,0
"5140","followingg",1,1,0
"5141","folow",1,1,0
"5142","fond",1,1,0
"5143","font",1,1,0
"5144","foodi",1,1,0
"5145","foodiefriday",1,1,0
"5146","foof",1,0,1
"5147","fool",1,0,1
"5148","foood",1,0,1
"5149","footbal",1,0,1
"5150","foreal",1,0,1
"5151","foreveralon",1,1,0
"5152","forgiven",1,1,0
"5153","forklift",1,1,0
"5154","format",1,1,0
"5155","former",1,0,1
"5156","forneret",1,1,0
"5157","forritwah",1,1,0
"5158","fortun",1,0,1
"5159","foto",1,1,0
"5160","fotoset",1,1,0
"5161","fought",1,1,0
"5162","foundat",1,0,1
"5163","founder",1,1,0
"5164","foundri",1,1,0
"5165","fowl",1,1,0
"5166","fraand",1,0,1
"5167","fragil",1,0,1
"5168","fragment",1,0,1
"5169","frail",1,0,1
"5170","fraud",1,0,1
"5171","freed",1,0,1
"5172","frequent",1,0,1
"5173","frequentfly",1,1,0
"5174","fresherstofin",1,0,1
"5175","freya",1,1,0
"5176","fricken",1,0,1
"5177","fridayand",1,1,0
"5178","fridayd",1,1,0
"5179","fridaydownpour",1,1,0
"5180","fridayfreebi",1,1,0
"5181","fridayfun",1,1,0
"5182","friendseveryth",1,0,1
"5183","friendship",1,1,0
"5184","friendzon",1,0,1
"5185","friex",1,0,1
"5186","frighten",1,0,1
"5187","frightl",1,1,0
"5188","friooooo",1,0,1
"5189","friskyfriday",1,1,0
"5190","friyay",1,1,0
"5191","frnds",1,1,0
"5192","fron",1,1,0
"5193","frou",1,0,1
"5194","froze",1,0,1
"5195","frudg",1,0,1
"5196","fruiti",1,1,0
"5197","fss",1,1,0
"5198","fu",1,0,1
"5199","fucjikg",1,0,1
"5200","fuckboy",1,0,1
"5201","fucker",1,1,0
"5202","fuckin",1,0,1
"5203","fuckkk",1,0,1
"5204","fug",1,0,1
"5205","fugiwara",1,1,0
"5206","fuk",1,1,0
"5207","fuller",1,1,0
"5208","fulton",1,1,0
"5209","funcionar",1,1,0
"5210","fundamentalist",1,1,0
"5211","funk",1,0,1
"5212","fuq",1,0,1
"5213","furbabi",1,1,0
"5214","furri",1,1,0
"5215","furtrim",1,0,1
"5216","fuse",1,0,1
"5217","futurereleas",1,1,0
"5218","fuuuuuck",1,0,1
"5219","fuuuuuuuuuck",1,0,1
"5220","fuzzi",1,0,1
"5221","fwm",1,1,0
"5222","fxhelp",1,0,1
"5223","fyi",1,0,1
"5224","fyn",1,0,1
"5225","gaaawd",1,0,1
"5226","gaga",1,0,1
"5227","gahd",1,0,1
"5228","gahhh",1,0,1
"5229","gail",1,1,0
"5230","galat",1,0,1
"5231","gale",1,1,0
"5232","gallon",1,0,1
"5233","gamedev",1,1,0
"5234","gamejam",1,1,0
"5235","gameplay",1,1,0
"5236","gamer",1,1,0
"5237","gamestomp",1,0,1
"5238","gameswatch",1,0,1
"5239","gameswish",1,0,1
"5240","gan",1,1,0
"5241","gana",1,0,1
"5242","ganbarimasu",1,0,1
"5243","gandhi",1,1,0
"5244","gangster",1,1,0
"5245","ganna",1,1,0
"5246","gap",1,0,1
"5247","garag",1,0,1
"5248","garbii",1,1,0
"5249","garlic",1,1,0
"5250","garret",1,1,0
"5251","garydid",1,1,0
"5252","gas",1,1,0
"5253","gass",1,1,0
"5254","gastronomi",1,1,0
"5255","gather",1,0,1
"5256","gatorad",1,1,0
"5257","gawd",1,0,1
"5258","gaya",1,1,0
"5259","gayi",1,1,0
"5260","gayl",1,0,1
"5261","gaza",1,1,0
"5262","gc",1,1,0
"5263","gear",1,0,1
"5264","gee",1,0,1
"5265","geekiest",1,1,0
"5266","geer",1,1,0
"5267","geez",1,0,1
"5268","gegu",1,0,1
"5269","gel",1,1,0
"5270","gelen",1,1,0
"5271","gemma",1,1,0
"5272","genad",1,0,1
"5273","gendut",1,0,1
"5274","gene",1,0,1
"5275","genesi",1,0,1
"5276","geneva",1,0,1
"5277","genial",1,1,0
"5278","genr",1,1,0
"5279","gensan",1,1,0
"5280","gent",1,1,0
"5281","gentlemen",1,1,0
"5282","geoff",1,1,0
"5283","georg",1,0,1
"5284","georgesampson",1,0,1
"5285","german",1,0,1
"5286","gern",1,1,0
"5287","ges2015kenya",1,1,0
"5288","geskenya",1,1,0
"5289","gestur",1,1,0
"5290","getaway",1,0,1
"5291","getthescoop",1,0,1
"5292","getwellsoonamb",1,0,1
"5293","gfriend",1,0,1
"5294","gh",1,0,1
"5295","ghantay",1,0,1
"5296","giachietittiwed",1,0,1
"5297","gibanica",1,1,0
"5298","gibran",1,1,0
"5299","giddi",1,0,1
"5300","gidi",1,0,1
"5301","gif",1,0,1
"5302","giftso",1,0,1
"5303","giggl",1,1,0
"5304","gigi",1,1,0
"5305","giguilti",1,0,1
"5306","gilet",1,0,1
"5307","gin",1,0,1
"5308","ging",1,0,1
"5309","ginger",1,1,0
"5310","gintama",1,0,1
"5311","gion886",1,0,1
"5312","gir",1,1,0
"5313","giriboy",1,0,1
"5314","girlfriendsmya",1,1,0
"5315","gishwh",1,0,1
"5316","giveitup",1,1,0
"5317","gl",1,1,0
"5318","gla",1,1,0
"5319","glare",1,0,1
"5320","glaze",1,1,0
"5321","gleam",1,1,0
"5322","glenn",1,1,0
"5323","glitch",1,0,1
"5324","glo",1,0,1
"5325","globe",1,1,0
"5326","glorifi",1,1,0
"5327","gloucestershir",1,1,0
"5328","glue",1,0,1
"5329","goa",1,0,1
"5330","goalscor",1,0,1
"5331","gobigorgohom",1,1,0
"5332","goddamn",1,0,1
"5333","goddess",1,1,0
"5334","godonna",1,1,0
"5335","gohf2015",1,1,0
"5336","goictived70685",1,1,0
"5337","going2suppli",1,0,1
"5338","gol",1,0,1
"5339","goldbug",1,1,0
"5340","golden",1,0,1
"5341","golf",1,0,1
"5342","gomen",1,0,1
"5343","gomez",1,1,0
"5344","gon",1,0,1
"5345","gondooo",1,1,0
"5346","goodi",1,0,1
"5347","goodtim",1,1,0
"5348","goodwil",1,1,0
"5349","goodwynsgoodi",1,1,0
"5350","goofingaround",1,1,0
"5351","gooo",1,1,0
"5352","goood",1,0,1
"5353","gooood",1,1,0
"5354","gooooo",1,0,1
"5355","goosnight",1,1,0
"5356","gorefiend",1,1,0
"5357","gotcha",1,1,0
"5358","gotham",1,1,0
"5359","gottolovebank",1,1,0
"5360","govern",1,0,1
"5361","goy",1,0,1
"5362","gr8",1,1,0
"5363","gracious",1,1,0
"5364","gram",1,0,1
"5365","grandma",1,0,1
"5366","granni",1,1,0
"5367","graphicdesign",1,1,0
"5368","grasp",1,0,1
"5369","grassi",1,1,0
"5370","gratti",1,1,0
"5371","gray",1,0,1
"5372","graze",1,1,0
"5373","greater",1,1,0
"5374","greatest",1,1,0
"5375","greatkenya",1,1,0
"5376","greec",1,0,1
"5377","greekcrisi",1,0,1
"5378","greg",1,1,0
"5379","grepe",1,0,1
"5380","grepein",1,0,1
"5381","greska",1,0,1
"5382","greymind43",1,0,1
"5383","greysonch",1,0,1
"5384","grigson",1,0,1
"5385","grill",1,1,0
"5386","grim",1,1,0
"5387","grindea",1,1,0
"5388","groan",1,0,1
"5389","groceri",1,0,1
"5390","grogol",1,1,0
"5391","grotti",1,0,1
"5392","groupi",1,1,0
"5393","growl",1,0,1
"5394","grs",1,1,0
"5395","grt",1,1,0
"5396","grumbl",1,0,1
"5397","grunt",1,1,0
"5398","gta",1,0,1
"5399","gtagiveaway",1,1,0
"5400","gtdlt",1,1,0
"5401","gtg",1,0,1
"5402","gtgtgt",1,0,1
"5403","gtkw",1,1,0
"5404","gtmj",1,1,0
"5405","gto",1,1,0
"5406","gua",1,0,1
"5407","gudday",1,1,0
"5408","gue",1,0,1
"5409","guilti",1,0,1
"5410","guin",1,0,1
"5411","guis",1,1,0
"5412","guitar",1,0,1
"5413","guitarsoul",1,1,0
"5414","gulo",1,0,1
"5415","gum",1,0,1
"5416","gunashekar",1,1,0
"5417","guncontrol",1,0,1
"5418","gundam",1,0,1
"5419","gunna",1,0,1
"5420","gur",1,0,1
"5421","gurgaon",1,0,1
"5422","guzel",1,1,0
"5423","gv",1,0,1
"5424","gwd",1,1,0
"5425","gwinett",1,1,0
"5426","gws",1,0,1
"5427","gwss",1,0,1
"5428","gyllenha",1,0,1
"5429","gymnast",1,0,1
"5430","gypsi",1,1,0
"5431","h8",1,0,1
"5432","haa",1,0,1
"5433","haaa",1,1,0
"5434","haaretz",1,0,1
"5435","habe",1,0,1
"5436","habhab",1,0,1
"5437","habit",1,1,0
"5438","hacharatt",1,0,1
"5439","had",1,1,0
"5440","hagergang",1,1,0
"5441","hah",1,1,0
"5442","hahaah",1,0,1
"5443","hahahaa",1,1,0
"5444","hahahaaah",1,1,0
"5445","hahahahahaah",1,0,1
"5446","hahahahahhaha",1,1,0
"5447","hahahaokay",1,0,1
"5448","hahahax",1,0,1
"5449","hahahay",1,1,0
"5450","hahay",1,0,1
"5451","haileyhelp",1,1,0
"5452","hairi",1,0,1
"5453","hairpin",1,1,0
"5454","haiss",1,0,1
"5455","haiz",1,0,1
"5456","haizzz",1,0,1
"5457","hajur",1,1,0
"5458","hakhakhak",1,1,0
"5459","halaaaang",1,0,1
"5460","hale",1,1,0
"5461","halesowen",1,1,0
"5462","halfrememb",1,0,1
"5463","halfway",1,1,0
"5464","halla",1,1,0
"5465","hallo",1,1,0
"5466","hallow",1,1,0
"5467","hallyu",1,0,1
"5468","halsey",1,1,0
"5469","hammi",1,1,0
"5470","hampm",1,0,1
"5471","hamstr",1,0,1
"5472","han",1,1,0
"5473","hanabutle18",1,1,0
"5474","hanbin",1,1,0
"5475","handlett",1,1,0
"5476","handov",1,0,1
"5477","handshom",1,1,0
"5478","hangcopi",1,1,0
"5479","hangin",1,0,1
"5480","happend",1,0,1
"5481","happenend",1,0,1
"5482","happier",1,0,1
"5483","happinessss",1,1,0
"5484","happpi",1,0,1
"5485","happyalien",1,1,0
"5486","happybirthdayemilybett",1,1,0
"5487","happycustom",1,1,0
"5488","happyweekend",1,1,0
"5489","happyyyyyy",1,1,0
"5490","harana",1,1,0
"5491","harap",1,0,1
"5492","hardcor",1,1,0
"5493","hardest",1,0,1
"5494","hardhead",1,0,1
"5495","hardwir",1,0,1
"5496","harlo",1,0,1
"5497","harmo",1,1,0
"5498","harmoni",1,1,0
"5499","harriet",1,0,1
"5500","harryxhood",1,1,0
"5501","harsh",1,0,1
"5502","harumph",1,0,1
"5503","harvest",1,0,1
"5504","hasb",1,0,1
"5505","hash",1,1,0
"5506","hashbrown",1,0,1
"5507","hashtaggt",1,1,0
"5508","hastili",1,1,0
"5509","hasya",1,0,1
"5510","hateeee",1,0,1
"5511","hatessuce32429",1,1,0
"5512","hatigii",1,0,1
